"primary_topic_field","n_Indig"
"Agricultural and Biological Sciences",48
"Arts and Humanities",129
"Biochemistry, Genetics and Molecular Biology",8
"Business, Management and Accounting",23
"Computer Science",10
"Decision Sciences",8
"Dentistry",1
"Earth and Planetary Sciences",8
"Economics, Econometrics and Finance",21
"Energy",5
"Engineering",39
"Environmental Science",125
"Health Professions",398
"Immunology and Microbiology",3
"Materials Science",2
"Mathematics",3
"Medicine",66
"Neuroscience",1
"Nursing",9
"Psychology",79
"Social Sciences",1967
"Veterinary",1
