"Var1","Freq"
"Anthropology",1557
"Archeology",24
"Communication",695
"Cultural Studies",881
"Demography",914
"Development",612
"Education",2032
"Gender Studies",1022
"General Social Sciences",77
"Geography, Planning and Development",246
"Health",1707
"Human Factors and Ergonomics",24
"Law",1061
"Library and Information Sciences",92
"Life-span and Life-course Studies",2
"Linguistics and Language",193
"Political Science and International Relations",10958
"Public Administration",7083
"Safety Research",507
"Sociology and Political Science",15050
"Transportation",503
"Urban Studies",643
