"source_id","primary_topic_field","n_subfields","n_topics"
"S13948593","Social Sciences",22,583
"S13948593","Health Professions",10,72
"S13948593","Environmental Science",11,166
"S13948593","Medicine",36,197
"S13948593","Agricultural and Biological Sciences",11,135
"S13948593","Psychology",7,118
"S13948593","Arts and Humanities",12,198
"S13948593","Engineering",15,278
"S13948593","Business, Management and Accounting",9,117
"S13948593","Decision Sciences",4,49
"S13948593","Economics, Econometrics and Finance",3,96
"S13948593","Energy",4,24
"S13948593","Neuroscience",5,19
"S13948593","Computer Science",10,146
"S13948593","Nursing",2,10
"S13948593","Biochemistry, Genetics and Molecular Biology",12,71
"S13948593","Materials Science",8,43
"S13948593","Earth and Planetary Sciences",8,46
"S4210175943","Pharmacology, Toxicology and Pharmaceutics",3,5
"S4210175943","Dentistry",2,2
"S32628711","Physics and Astronomy",7,27
"S32628711","Mathematics",6,26
"S32628711","Veterinary",1,6
"S32628711","Chemistry",5,19
"S4210174853","Immunology and Microbiology",5,19
"S76877748","Chemical Engineering",5,9
