"primary_topic_field","n_subfields","n_topics"
"Social Sciences",21,535
"Health Professions",9,67
"Environmental Science",11,156
"Medicine",28,124
"Agricultural and Biological Sciences",11,118
"Psychology",7,107
"Arts and Humanities",12,158
"Engineering",15,212
"Business, Management and Accounting",9,112
"Decision Sciences",4,44
"Economics, Econometrics and Finance",3,88
"Neuroscience",3,11
"Computer Science",10,121
"Nursing",2,5
"Biochemistry, Genetics and Molecular Biology",12,45
"Materials Science",5,32
"Earth and Planetary Sciences",8,35
"Dentistry",2,2
"Physics and Astronomy",5,18
"Mathematics",7,20
"Veterinary",1,5
"Immunology and Microbiology",5,17
"Energy",4,23
"Chemistry",5,12
"Pharmacology, Toxicology and Pharmaceutics",1,1
"Chemical Engineering",4,7
