"primary_topic_subfield","n_subfield"
"Anthropology",31
"Communication",294
"Cultural Studies",18
"Demography",176
"Development",171
"Education",360
"Gender Studies",393
"General Social Sciences",34
"Geography, Planning and Development",23
"Health",204
"Human Factors and Ergonomics",10
"Law",128
"Library and Information Sciences",4
"Linguistics and Language",9
"Political Science and International Relations",3501
"Public Administration",4884
"Safety Research",203
"Sociology and Political Science",5721
"Transportation",180
"Urban Studies",106
